City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,cockburn town,21.4612,-71.1419,75.72,63,39,20.83,TC,1712702356
125,dukhan,25.4297,50.7858,76.12,69,99,13.2,QA,1712702356
126,keelung,25.1283,121.7419,73.06,94,100,10.18,TW,1712702356
127,nemuro,43.3236,145.575,34.16,80,6,14.18,JP,1712702299
128,zhangye,38.9342,100.4517,48.96,35,6,7.0,CN,1712702246
129,midvagur,62.0511,-7.1939,40.03,81,40,2.3,FO,1712702252
130,sikandra rao,27.7,78.4,74.8,12,28,3.29,IN,1712702356
131,cabo san lucas,22.8909,-109.9124,80.62,43,0,4.61,MX,1712702117
132,richards bay,-28.783,32.0377,64.76,90,1,5.48,ZA,1712702357
133,mili,6.0815,171.735,82.56,84,100,20.29,MH,1712702357
134,nephi,39.7102,-111.8363,57.29,45,14,9.84,US,1712702117
135,khandyga,62.6667,135.6,20.32,93,100,0.56,RU,1712702357
136,ulaangom,49.9811,92.0667,32.38,81,77,8.93,MN,1712702357
137,uzgen,40.7699,73.3007,46.69,64,74,2.39,KG,1712702358
138,iqaluit,63.7506,-68.5145,24.53,73,100,4.61,CA,1712702072
139,papao,-17.75,-149.55,81.66,78,100,12.37,PF,1712702358
140,codrington,-38.2667,141.9667,59.59,75,80,9.71,AU,1712702358
141,iskateley,67.6803,53.1512,17.02,85,100,5.01,RU,1712702358
142,coquimbo,-29.9533,-71.3436,60.53,82,75,10.36,CL,1712702236
143,tazacorte,28.629,-17.9293,68.14,60,0,17.27,ES,1712702359
144,oosteinde,52.7418,6.281,50.2,83,100,21.52,NL,1712702359
145,kutum,14.2,24.6667,73.02,9,6,9.82,SD,1712702359
146,kailua-kona,19.6406,-155.9956,82.27,72,20,12.66,US,1712702083
147,nar'yan-mar,67.6713,53.087,17.11,85,100,5.01,RU,1712702359
148,east london,-33.0153,27.9116,63.91,84,100,28.23,ZA,1712702210
149,guarapari,-20.6667,-40.4975,79.9,89,99,6.46,BR,1712702095
150,tralee,52.2704,-9.7026,44.58,91,99,6.31,IE,1712702360
151,pahrump,36.2083,-115.9839,74.25,14,0,8.99,US,1712702255
152,camarinas,43.1311,-9.1817,50.94,67,98,2.53,ES,1712702360
153,kerikeri,-35.2268,173.9474,71.91,81,86,11.16,NZ,1712702360
154,longyearbyen,78.2186,15.6401,13.84,92,75,1.14,SJ,1712702284
155,saipan,15.1355,145.701,83.1,78,75,18.41,MP,1712702360
156,kalmunai,7.4167,81.8167,80.83,70,89,4.97,LK,1712702266
157,san patricio,28.017,-97.5169,89.17,73,43,17.98,US,1712702361
158,fuyu,45.1833,124.8167,42.44,23,95,8.25,CN,1712702361
159,percut,3.6253,98.864,77.22,96,100,6.35,ID,1712702361
160,dolinsk,47.35,142.8,33.73,52,59,12.73,RU,1712702361
161,hailey,43.5196,-114.3153,57.06,36,40,13.0,US,1712702092
162,weno,7.4515,151.8468,85.95,84,75,10.36,FM,1712702299
163,kugesi,56.029,47.2925,53.26,58,0,6.71,RU,1712702361
164,san antonio de pale,-1.4014,5.6325,81.93,78,48,8.01,GQ,1712702362
165,taman',45.2117,36.7161,57.43,71,0,13.44,RU,1712702362
166,queimadas,-10.9783,-39.6264,79.02,75,99,5.46,BR,1712702362
167,essaouira,31.5125,-9.77,71.1,40,3,16.11,MA,1712702362
168,whitehorse,60.7161,-135.0538,41.77,38,75,13.8,CA,1712702268
169,tongliao,43.6125,122.2653,44.98,24,79,9.24,CN,1712702357
170,at taj,24.2049,23.2857,63.93,30,76,10.45,LY,1712702363
171,muroto-misakicho,33.2833,134.15,54.12,53,4,3.76,JP,1712702363
172,harper,4.375,-7.7169,82.29,83,98,6.69,LR,1712702363
173,okha,53.5739,142.9478,17.26,91,38,10.0,RU,1712702363
174,lihue,21.9789,-159.3672,79.84,69,40,16.11,US,1712702363
175,hawaiian paradise park,19.5933,-154.9731,77.88,77,100,4.61,US,1712702364
176,ghat,24.9647,10.1728,78.4,9,24,3.33,LY,1712702238
177,esmeraldas,-19.7625,-44.3139,78.04,76,98,2.84,BR,1712702258
178,hamilton,39.1834,-84.5333,64.6,84,100,12.66,US,1712702223
179,kingston,17.997,-76.7936,86.95,72,20,28.77,JM,1712702364
180,alice springs,-23.7,133.8833,61.21,59,2,4.61,AU,1712702206
181,el molar,40.7322,-3.5797,51.4,61,94,5.41,ES,1712702365
182,levanger,63.7464,11.2996,48.25,84,100,4.74,NO,1712702365
183,karystos,38.0133,24.4161,64.99,53,0,10.16,GR,1712702213
184,ouadda,8.0777,22.4007,80.55,38,96,4.16,CF,1712702365
185,hithadhoo,-0.6,73.0833,84.27,74,86,5.86,MV,1712702076
186,qaqortoq,60.7167,-46.0333,22.96,83,0,4.36,GL,1712702258
187,natal,-5.795,-35.2094,82.62,83,75,4.61,BR,1712702365
188,pisco,-13.7,-76.2167,77.05,69,0,20.71,PE,1712702366
189,el obeid,13.1842,30.2167,76.39,9,23,11.86,SD,1712702366
190,arteaga,18.4667,-102.4167,85.39,25,76,9.8,MX,1712702366
191,coroata,-4.13,-44.1242,76.14,97,87,3.89,BR,1712702366
192,broome,42.2506,-75.833,73.78,20,0,4.61,US,1712702366
193,porto novo,6.4965,2.6036,84.02,81,70,7.05,BJ,1712702210
194,jamestown,42.097,-79.2353,73.04,40,20,11.5,US,1712702367
195,santo tomas la union,14.6333,-91.3833,84.72,78,94,3.02,GT,1712702367
196,hammerfest,70.6634,23.6821,34.25,86,100,12.66,NO,1712702264
197,bowen,-20.0167,148.2333,79.5,62,54,12.93,AU,1712702123
198,san pedro,14.35,121.0167,82.35,81,20,7.0,PH,1712702367
199,ilhabela,-23.7781,-45.3581,74.55,90,7,3.62,BR,1712702315
200,uturoa,-16.7333,-151.4333,84.11,76,97,11.59,PF,1712702157
201,newman,37.3138,-121.0208,76.28,44,1,5.01,US,1712702275
202,offenbach an der queich,49.2022,8.1811,49.78,74,98,8.48,DE,1712702368
203,keflavik,64.0049,-22.5624,34.23,80,75,2.3,IS,1712702368
204,utete,-7.986,38.758,71.67,98,100,2.17,TZ,1712702369
205,nevel'sk,46.6733,141.8633,36.03,68,19,12.68,RU,1712702369
206,kirakira,-10.4544,161.9205,86.04,74,100,7.4,SB,1712702369
207,esquina,-30.0144,-59.5272,69.58,82,14,4.94,AR,1712702369
208,afaahiti,-17.75,-149.2833,80.06,83,100,10.47,PF,1712702369
209,auki,-8.7676,160.7034,86.68,67,97,1.74,SB,1712702369
210,cumra,37.5732,32.7745,55.54,82,100,6.46,TR,1712702370
211,fort st. john,56.2499,-120.8529,44.49,57,75,13.8,CA,1712702370
212,viedma,-40.8135,-62.9967,48.72,52,2,7.31,AR,1712702163
213,princes town,10.2667,-61.3833,85.41,73,85,6.08,TT,1712702370
214,kruisfontein,-34.0033,24.7314,61.88,85,57,17.22,ZA,1712702370
215,quellon,-43.1167,-73.6167,47.68,79,9,9.82,CL,1712702144
216,ola,59.5833,151.2833,22.14,70,4,7.92,RU,1712702371
217,la punta,-33.1837,-66.3127,68.25,47,59,16.82,AR,1712702371
218,tofol,5.3248,163.0078,83.98,74,75,14.97,FM,1712702272
219,fort bragg,35.139,-79.006,67.55,68,100,8.05,US,1712702371
220,mazamet,43.49,2.373,49.08,96,75,13.8,FR,1712702371
221,rongelap,11.1635,166.8941,80.73,84,100,20.6,MH,1712702371
222,martapura,-3.4167,114.85,76.17,96,100,1.45,ID,1712702372
223,gadzhiyevo,69.2551,33.3362,25.45,95,100,4.0,RU,1712702372
224,louhans,46.6667,5.1667,46.29,94,64,4.61,FR,1712702372
225,vegreville,53.5001,-112.0518,56.1,22,49,18.41,CA,1712702277
226,selkirk,50.1436,-96.8845,57.09,50,64,1.01,CA,1712702372
227,invercargill,-46.4,168.35,58.01,94,100,1.01,NZ,1712702076
228,vilyuchinsk,52.9306,158.4028,37.92,99,100,2.73,RU,1712702153
229,wenling,28.3669,121.36,54.32,83,72,6.15,CN,1712702373
230,qarazhal,48.0078,70.7903,45.63,89,100,15.43,KZ,1712702373
231,hailin,44.5833,129.4167,37.33,31,27,3.89,CN,1712702216
